columna,tipo_dato,significado,unidad,fuente,transformacion_aplicada,ejemplo
id_publicacion,string,Completar definición final.,Completar si corresponde.,Base consolidada desde portales inmobiliarios/Airbnb.,Ver notebook 02_limpieza_y_consolidacion.,MLA2052442697
fuente_norm,str,Completar definición final.,Completar si corresponde.,Base consolidada desde portales inmobiliarios/Airbnb.,Ver notebook 02_limpieza_y_consolidacion.,mercado_libre
fuente,str,Completar definición final.,Completar si corresponde.,Base consolidada desde portales inmobiliarios/Airbnb.,Ver notebook 02_limpieza_y_consolidacion.,Mercado Libre
tipo_operacion_norm,str,Completar definición final.,Completar si corresponde.,Base consolidada desde portales inmobiliarios/Airbnb.,Ver notebook 02_limpieza_y_consolidacion.,alquiler
tipo_operacion,str,Completar definición final.,Completar si corresponde.,Base consolidada desde portales inmobiliarios/Airbnb.,Ver notebook 02_limpieza_y_consolidacion.,alquiler
url,str,Completar definición final.,Completar si corresponde.,Base consolidada desde portales inmobiliarios/Airbnb.,Ver notebook 02_limpieza_y_consolidacion.,https://departamento.mercadolibre.com.ar/MLA-2052442697-departamento-en-alquiler-de-4-ambientes-con-dependencia-y-cocher
fecha_extraccion,"datetime64[us, UTC]",Completar definición final.,Completar si corresponde.,Base consolidada desde portales inmobiliarios/Airbnb.,Ver notebook 02_limpieza_y_consolidacion.,2026-09-03 16:45:14.494669+00:00
scraped_at_utc,"datetime64[us, UTC]",Completar definición final.,Completar si corresponde.,Base consolidada desde portales inmobiliarios/Airbnb.,Ver notebook 02_limpieza_y_consolidacion.,2026-09-03 16:45:14.494669+00:00
_archivo_origen,str,Completar definición final.,Completar si corresponde.,Base consolidada desde portales inmobiliarios/Airbnb.,Ver notebook 02_limpieza_y_consolidacion.,data\raw\mercadolibre_inmuebles_alquiler\meli_alq_1.csv
titulo,str,Completar definición final.,Completar si corresponde.,Base consolidada desde portales inmobiliarios/Airbnb.,Ver notebook 02_limpieza_y_consolidacion.,Departamento En Alquiler De 4 Ambientes Con Dependencia Y Cochera En Palermo Chico Con Amenities
tipo_propiedad,object,Completar definición final.,Completar si corresponde.,Base consolidada desde portales inmobiliarios/Airbnb.,Ver notebook 02_limpieza_y_consolidacion.,departamento
moneda_norm,str,Completar definición final.,Completar si corresponde.,Base consolidada desde portales inmobiliarios/Airbnb.,Ver notebook 02_limpieza_y_consolidacion.,USD
moneda,str,Completar definición final.,Completar si corresponde.,Base consolidada desde portales inmobiliarios/Airbnb.,Ver notebook 02_limpieza_y_consolidacion.,USD
precio,float64,Completar definición final.,Completar si corresponde.,Base consolidada desde portales inmobiliarios/Airbnb.,Ver notebook 02_limpieza_y_consolidacion.,5000.0
precio_texto,str,Completar definición final.,Completar si corresponde.,Base consolidada desde portales inmobiliarios/Airbnb.,Ver notebook 02_limpieza_y_consolidacion.,US$ 5.000
precio_m2_ref,float64,Completar definición final.,Completar si corresponde.,Base consolidada desde portales inmobiliarios/Airbnb.,Ver notebook 02_limpieza_y_consolidacion.,23.81
barrio,object,Completar definición final.,Completar si corresponde.,Base consolidada desde portales inmobiliarios/Airbnb.,Ver notebook 02_limpieza_y_consolidacion.,Palermo Chico
barrio_norm,str,Completar definición final.,Completar si corresponde.,Base consolidada desde portales inmobiliarios/Airbnb.,Ver notebook 02_limpieza_y_consolidacion.,palermo
comuna,float64,Completar definición final.,Completar si corresponde.,Base consolidada desde portales inmobiliarios/Airbnb.,Ver notebook 02_limpieza_y_consolidacion.,14.0
localidad,object,Completar definición final.,Completar si corresponde.,Base consolidada desde portales inmobiliarios/Airbnb.,Ver notebook 02_limpieza_y_consolidacion.,Capital Federal
provincia,object,Completar definición final.,Completar si corresponde.,Base consolidada desde portales inmobiliarios/Airbnb.,Ver notebook 02_limpieza_y_consolidacion.,Capital Federal
direccion,str,Completar definición final.,Completar si corresponde.,Base consolidada desde portales inmobiliarios/Airbnb.,Ver notebook 02_limpieza_y_consolidacion.,"Segui Al 3600, Palermo Chico, Capital Federal"
calle,str,Completar definición final.,Completar si corresponde.,Base consolidada desde portales inmobiliarios/Airbnb.,Ver notebook 02_limpieza_y_consolidacion.,Segui Al
altura,float64,Completar definición final.,Completar si corresponde.,Base consolidada desde portales inmobiliarios/Airbnb.,Ver notebook 02_limpieza_y_consolidacion.,3600.0
superficie_ref_m2,float64,Completar definición final.,Completar si corresponde.,Base consolidada desde portales inmobiliarios/Airbnb.,Ver notebook 02_limpieza_y_consolidacion.,210.0
superficie_min_m2,float64,Completar definición final.,Completar si corresponde.,Base consolidada desde portales inmobiliarios/Airbnb.,Ver notebook 02_limpieza_y_consolidacion.,210.0
superficie_max_m2,float64,Completar definición final.,Completar si corresponde.,Base consolidada desde portales inmobiliarios/Airbnb.,Ver notebook 02_limpieza_y_consolidacion.,210.0
ambientes_ref,float64,Completar definición final.,Completar si corresponde.,Base consolidada desde portales inmobiliarios/Airbnb.,Ver notebook 02_limpieza_y_consolidacion.,4.0
